"","Open","High","Low","Close","Volume","Wiki","Sentiment","Sentiment High","Sentiment Low","News Volume","News Buzz","priceSMA","priceWMA","priceMomentum","priceRSI","priceMACD","priceK","priceD","priceAD","wikiSMA","wikiWMA","wikiMomentum","wikiRSI","wikiMACD","sentimentSMA","sentimentWMA","sentimentMomentum","sentimentRSI","sentimentMACD","sentimentK","sentimentD","sentimentAD","newsSMA","newsWMA","newsMomentum","newsRSI","newsMACD","Target"
"39",59.5155531609452,60.0477559339515,58.4829905511216,59.00325,146837600,15526,-1,3,-5,86,10,60.1991905,59.6653789636364,-51.6493359920119,36.3157782285367,-2.88821915853462,0.146150201524696,0.151585728208354,-870696698.826822,15683.6,15200.8363636364,-9.27058035340424,48.908163507795,-2.71141418319827,-0.4,-0.327272727272727,0,48.5723635313339,-22.1918406058513,0.4,0.566666666666667,-151.892857142857,46.1,58.3272727272727,50,55.3238304359548,-2.58952200487995,"3"
"40",58.9342377342308,59.4412283865525,58.582531,58.582531,80628800,15182,-2,2,-5,75,10,59.8592952,59.3714408727273,-53.9725814224726,35.0996389159175,-2.89220585247086,0.0791033009737747,0.154822239600655,-951325498.826822,15292.7,15109.6363636364,-39.7781622061667,48.1148949179109,-2.72799526922449,-0.6,-0.618181818181818,-20,45.6642525472649,4.87366286533455,0.3,0.433333333333333,-162.607142857143,53.6,63.5818181818182,45.4545454545455,53.3009284480475,0.264720885335401,"1"
"41",58.1312840029369,58.1551706512692,57.0668679686572,57.131904,138112100,13211,-2,3,-5,64,10,59.3799112,58.8755515636364,-62.3188319131947,31.2177914853751,-3.0574866411573,0.00891602470204446,0.0780565090668381,-1072930678.44901,14910.4,14731.1454545455,-39.2464839338877,43.7375916762046,-3.73388183810617,-0.8,-0.872727272727273,-20,45.6642525472649,19.4106338806507,0.3,0.333333333333333,-178.607142857143,60,65.4727272727273,36.3636363636364,51.2815915620058,0.94928926796285,"1"
"42",56.7775391580497,56.8306282816724,55.6096063095134,55.74896,145688900,14897,-1,3,-4,65,6,58.8475717,58.2153786181818,-64.7457667522865,28.034593851165,-3.34202893315972,0.0165664842437506,0.0348619366398563,-1185364999.34912,14809,14728.7090909091,-9.84083850931677,48.0881891216666,-3.61331686150617,-0.9,-0.909090909090909,-9.09090909090909,49.1921953591769,19.1940746331456,0.4,0.333333333333333,-187.892857142857,66.5,66.3818181818182,36.7231638418079,51.4616241988062,1.59937091062241,"6"
"43",55.9387520291571,57.758338151411,55.8418661600308,57.220823,159608400,15806,1,5,-3,62,9,58.4646746,57.9196061272727,-39.5910725125962,35.5651915408793,-3.33305339657786,0.222181296276768,0.0825546017408542,-1115287710.34719,14859.9,14909.9818181818,4.80233984338145,50.3187500588907,-3.00235990576587,-0.7,-0.563636363636364,16.6666666666667,55.4257354407882,-3.32540600478348,0.6,0.433333333333333,-187.892857142857,66,65.5636363636364,-4.42477876106195,50.8544779878334,1.68821658225244,"2"
"44",57.6680896921847,57.7663011661573,56.3302752112936,56.493519,115062500,15002,-1,4,-4,73,10,58.1568972,57.5612142,-34.5037982749524,33.6892050747036,-3.38902204728949,0.126519554554118,0.121755778358212,-1204190183.95713,14805.7,14935.8181818182,-4.85837217640731,48.3402605612233,-2.90886833362679,-0.6,-0.618181818181818,7.69230769230769,48.9572050096526,2.44432742791898,0.4,0.466666666666667,-206.142857142857,65.7,66.8363636363636,-2.60869565217391,53.0421110497248,3.16116230452521,"5"
"45",56.3395646749381,57.3362904190044,55.8830087464838,57.146502,117118400,14954,-1,4,-4,72,10,57.9514468,57.3775059818182,-22.3247755736896,36.9069855251953,-3.3076501028678,0.226348634071805,0.19168316163423,-1117661471.27324,14841.6,14962.7818181818,3.5007313505607,48.2183654575657,-2.82846142478435,-0.5,-0.690909090909091,7.69230769230769,48.9572050096526,6.52545239623878,0.4,0.466666666666667,-224.142857142857,65,67.9818181818182,-6.19469026548673,52.8119590240138,4.11211255445851,"4"
"46",57.0429812675643,57.790191480555,56.8850428204428,57.297802,97870500,13177,-1,4,-4,49,8,57.6980847,57.2586614727273,-29.0430266764684,37.6618136508347,-3.18671549948597,0.290875762265517,0.214581316963813,-1126271612.03491,14855.2,14660.1272727273,1.29795762550105,43.8136525435767,-3.67644403023066,-0.5,-0.781818181818182,0,48.9572050096526,9.36350665884238,0.4,0.4,-236.392857142857,64.6,65.0727272727273,-3.63636363636364,47.686828177273,1.88836654589999,"5"
"47",57.0363431742883,58.2653285976123,56.424506783513,58.114028,118559000,14755,-1,4,-5,46,5,57.6326539,57.3342875272727,-7.71879077295504,41.7131086657181,-2.9445026903817,0.487722800908368,0.334982399081896,-1027201785.20194,14826.3,14641.9090909091,-2.8747637521138,48.3277100396999,-3.46811974312271,-0.8,-0.872727272727273,-33.3333333333333,48.9572050096526,11.2798538559596,0.4,0.4,-241.503968253968,64.7,61.6909090909091,0.952380952380952,47.0455166819487,-0.325580947613846,"1"
"48",57.8127563898439,58.2480767469185,56.7470148809353,56.861153,116477900,14741,-1,3,-5,40,7,57.3600472,57.1940146363636,-30.5928046279962,37.6666197368974,-2.89322849481781,0.26107394419851,0.346557502457465,-1125966133.58906,14725.1,14626.4,-10.8142765548194,48.2906415423679,-3.27334991446152,-1,-0.909090909090909,-25,48.9572050096526,12.5098206406901,0.4,0.4,-241.503968253968,63.2,57.2,-14.8514851485149,45.7211672902364,-2.95977627703314,"3"
"49",56.8638072477425,57.6667645660249,56.4537024637036,56.850535,101387300,14154,-1,4,-5,47,7,57.1447757,57.1013760545454,-25.8197971348345,37.6333002912974,-2.82266210318101,0.258859018330723,0.3358852544792,-1161019188.49105,14587.9,14522.5636363636,-14.1181313027372,46.6741266376976,-3.39991321869297,-1,-0.909090909090909,0,48.9572050096526,13.227865767451,0.4,0.4,-246.72619047619,59.3,54.2545454545455,-50.6493506493507,47.5753451323261,-4.07881899327434,"4"
"50",57.445123329175,57.68534289338,57.129250014335,57.401323,75968900,15047,1,4,-4,68,10,57.0266549,57.1480210181818,-13.9498564398016,40.5700885435786,-2.66004666754412,0.373753969250454,0.297895643926562,-1162651278.15037,14574.4,14606.0363636364,-1.31489237362423,49.4465864842463,-2.98109870360386,-0.7,-0.545454545454545,42.8571428571429,56.8185902360059,-9.04273424267968,0.6,0.466666666666667,-229.72619047619,58.6,55.8363636363636,-8.04597701149425,52.7860574095632,-1.9213886320419,"6"
